,x_k,f(x_k)
0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",585.3482582149998
1,"[[0.0243929 ]
 [0.02501183]
 [0.01936105]
 [0.0240613 ]
 [0.02333218]
 [0.02351659]
 [0.019036  ]
 [0.0262835 ]
 [0.02635904]
 [0.02044347]
 [0.02494234]
 [0.02880634]
 [0.02483206]
 [0.02018106]
 [0.02062105]
 [0.02529814]
 [0.02320989]
 [0.02487154]
 [0.02253749]
 [0.0214226 ]
 [0.0188217 ]
 [0.02292079]
 [0.02311829]
 [0.02735837]
 [0.02215989]
 [0.02435167]
 [0.02727423]
 [0.02771712]
 [0.02680998]
 [0.02224705]
 [0.02518586]
 [0.01954155]
 [0.02383223]
 [0.02513973]
 [0.02375488]
 [0.02133858]
 [0.02007387]
 [0.02706662]
 [0.02371717]
 [0.02246472]
 [0.02209966]
 [0.02568995]]",144.599423817756
2,"[[-0.02576808]
 [ 0.14736089]
 [-0.07653089]
 [ 0.0650496 ]
 [ 0.03164295]
 [-0.023009  ]
 [-0.06972708]
 [ 0.11175916]
 [-0.01751535]
 [-0.0602579 ]
 [ 0.0873943 ]
 [ 0.05602366]
 [ 0.07282908]
 [ 0.08354579]
 [-0.09639268]
 [ 0.11230404]
 [-0.0326923 ]
 [-0.01580503]
 [-0.05824985]
 [-0.06413011]
 [-0.0450112 ]
 [ 0.01244443]
 [ 0.0054826 ]
 [ 0.01078665]
 [ 0.00254025]
 [ 0.08602357]
 [ 0.03973067]
 [ 0.14644958]
 [ 0.13372676]
 [ 0.11262383]
 [ 0.02427247]
 [-0.06941075]
 [ 0.06191768]
 [ 0.05402883]
 [ 0.06563793]
 [-0.06462221]
 [-0.01235583]
 [ 0.11074728]
 [ 0.00330362]
 [-0.02104916]
 [-0.04982547]
 [-0.02579522]]",75.54288076360115
3,"[[-0.02132142]
 [ 0.1519007 ]
 [-0.07416259]
 [ 0.06902585]
 [ 0.0361814 ]
 [-0.01893922]
 [-0.06668272]
 [ 0.11557291]
 [-0.01423313]
 [-0.05664008]
 [ 0.09112429]
 [ 0.06152184]
 [ 0.07766759]
 [ 0.08601416]
 [-0.09362748]
 [ 0.11565234]
 [-0.02928003]
 [-0.01213753]
 [-0.05433877]
 [-0.05984571]
 [-0.04195767]
 [ 0.01635386]
 [ 0.00920195]
 [ 0.01507221]
 [ 0.00566089]
 [ 0.08928526]
 [ 0.04457007]
 [ 0.15091298]
 [ 0.13881082]
 [ 0.11582886]
 [ 0.0274485 ]
 [-0.06685493]
 [ 0.06536147]
 [ 0.05819295]
 [ 0.06937089]
 [-0.06092955]
 [-0.00796054]
 [ 0.1145373 ]
 [ 0.00785907]
 [-0.01761066]
 [-0.04608634]
 [-0.02255008]]",64.25711590623594
4,"[[-0.01335741]
 [ 0.17606877]
 [-0.10511166]
 [ 0.07427962]
 [ 0.05691498]
 [-0.01700119]
 [-0.07686783]
 [ 0.11016655]
 [-0.04679244]
 [-0.05684823]
 [ 0.08748057]
 [ 0.0861113 ]
 [ 0.10398619]
 [ 0.06883149]
 [-0.12116219]
 [ 0.10196766]
 [-0.04513803]
 [-0.02683439]
 [-0.05582005]
 [-0.04623852]
 [-0.04870419]
 [ 0.01984876]
 [ 0.00606738]
 [ 0.00828217]
 [-0.00991663]
 [ 0.07527112]
 [ 0.05611141]
 [ 0.16032812]
 [ 0.16818673]
 [ 0.11209865]
 [ 0.00143493]
 [-0.09287651]
 [ 0.05651084]
 [ 0.06244963]
 [ 0.06918422]
 [-0.06335215]
 [ 0.01976341]
 [ 0.10484902]
 [ 0.0247704 ]
 [-0.02810674]
 [-0.04908336]
 [-0.05371757]]",56.60094989480949
5,"[[-0.01048872]
 [ 0.17947124]
 [-0.10350575]
 [ 0.07723363]
 [ 0.05985288]
 [-0.01427155]
 [-0.07491989]
 [ 0.11281136]
 [-0.0446143 ]
 [-0.05480803]
 [ 0.0902066 ]
 [ 0.09000461]
 [ 0.10752174]
 [ 0.07048278]
 [-0.11921412]
 [ 0.10431726]
 [-0.04293836]
 [-0.02425474]
 [-0.0534854 ]
 [-0.04352917]
 [-0.04684507]
 [ 0.02244108]
 [ 0.00872882]
 [ 0.01108965]
 [-0.0076601 ]
 [ 0.07768969]
 [ 0.05919828]
 [ 0.16364396]
 [ 0.17164928]
 [ 0.11413776]
 [ 0.00374105]
 [-0.09123867]
 [ 0.05899506]
 [ 0.06532994]
 [ 0.07180521]
 [-0.06100427]
 [ 0.02256509]
 [ 0.10757003]
 [ 0.02782858]
 [-0.02577859]
 [-0.04641339]
 [-0.05147116]]",51.36591524586489
6,"[[-0.00969724]
 [ 0.20516081]
 [-0.12592312]
 [ 0.08773541]
 [ 0.06988937]
 [-0.01442466]
 [-0.08593649]
 [ 0.10998844]
 [-0.06970977]
 [-0.0673687 ]
 [ 0.09263736]
 [ 0.11130455]
 [ 0.13277774]
 [ 0.05717666]
 [-0.13715662]
 [ 0.09620499]
 [-0.05803332]
 [-0.03267378]
 [-0.06422603]
 [-0.04015602]
 [-0.05818008]
 [ 0.0226788 ]
 [ 0.00987774]
 [ 0.00274185]
 [-0.01522191]
 [ 0.07305722]
 [ 0.06102693]
 [ 0.17792007]
 [ 0.192134  ]
 [ 0.10708654]
 [-0.01097032]
 [-0.11284533]
 [ 0.0564178 ]
 [ 0.06934084]
 [ 0.07360217]
 [-0.06775644]
 [ 0.03652996]
 [ 0.1043296 ]
 [ 0.03825584]
 [-0.03392776]
 [-0.04525113]
 [-0.07284195]]",47.05393701140401
7,"[[-0.00735598]
 [ 0.20797985]
 [-0.1245709 ]
 [ 0.09026895]
 [ 0.07224593]
 [-0.01220537]
 [-0.0843011 ]
 [ 0.11215019]
 [-0.06792466]
 [-0.0658269 ]
 [ 0.09494251]
 [ 0.11449376]
 [ 0.13575416]
 [ 0.05851486]
 [-0.13548466]
 [ 0.09808343]
 [-0.05622923]
 [-0.03052485]
 [-0.06237233]
 [-0.03801812]
 [-0.05669651]
 [ 0.02484948]
 [ 0.01210721]
 [ 0.0050265 ]
 [-0.0132923 ]
 [ 0.07507803]
 [ 0.06346016]
 [ 0.18074636]
 [ 0.19491872]
 [ 0.10868926]
 [-0.00904097]
 [-0.11144319]
 [ 0.05853313]
 [ 0.07175653]
 [ 0.07575294]
 [-0.06583473]
 [ 0.03880364]
 [ 0.10657259]
 [ 0.04075125]
 [-0.03202423]
 [-0.04295794]
 [-0.070918  ]]",43.49731308509308
8,"[[-0.00739473]
 [ 0.22979978]
 [-0.14251827]
 [ 0.10187774]
 [ 0.0787091 ]
 [-0.01327584]
 [-0.09263639]
 [ 0.10919922]
 [-0.08925779]
 [-0.08042748]
 [ 0.09862262]
 [ 0.13164375]
 [ 0.1586205 ]
 [ 0.04667873]
 [-0.14858384]
 [ 0.0895317 ]
 [-0.0691435 ]
 [-0.03695663]
 [-0.07342573]
 [-0.03801024]
 [-0.0676164 ]
 [ 0.0260196 ]
 [ 0.01405851]
 [-0.00285131]
 [-0.01762513]
 [ 0.07192604]
 [ 0.06169448]
 [ 0.1953441 ]
 [ 0.20996223]
 [ 0.10048907]
 [-0.02057865]
 [-0.12799082]
 [ 0.05831272]
 [ 0.07629568]
 [ 0.07692266]
 [-0.07189466]
 [ 0.04941624]
 [ 0.10379481]
 [ 0.04868954]
 [-0.03933169]
 [-0.03932013]
 [-0.08670589]]",40.45233157729244
9,"[[-0.00537811]
 [ 0.23218766]
 [-0.14134806]
 [ 0.10409946]
 [ 0.08070291]
 [-0.01139764]
 [-0.09117646]
 [ 0.11102522]
 [-0.08774478]
 [-0.07917067]
 [ 0.1006243 ]
 [ 0.13434172]
 [ 0.16119051]
 [ 0.04779897]
 [-0.14710668]
 [ 0.09107689]
 [-0.06759437]
 [-0.03511153]
 [-0.07185058]
 [-0.03622383]
 [-0.06635942]
 [ 0.02792176]
 [ 0.01597945]
 [-0.00090331]
 [-0.01593541]
 [ 0.07363827]
 [ 0.06371083]
 [ 0.19781163]
 [ 0.21229527]
 [ 0.10182372]
 [-0.01893739]
 [-0.12672974]
 [ 0.0601649 ]
 [ 0.07840753]
 [ 0.07874862]
 [-0.07023566]
 [ 0.05135975]
 [ 0.10568713]
 [ 0.0508173 ]
 [-0.03771307]
 [-0.03729034]
 [-0.085003  ]]",37.84338436468676
